review_id,user_id,book_id,rating,text,date
1,1,1,5,"????? ? ??? — ??? ??????????? ??????, ??????? ?????????? ?? ?????? ????? 1812 ????, ?? ? ????? ?????? ?????????. ??? ??????? ????????? ????????? ???????? ???????, ????? ? ?????? ??????, ????? ??? ???? ???????, ?????? ?????????? ? ?????? ???????. ????? ??????????? ?????? ???? ?????, ?????, ?????? ?????? ????? ? ???????????? ???????.",12/01/2024
2,2,2,5,"??????? ?????? — ??? ???? ?? ????? ????????? ???????????? ?????????? ???????, ?????????? ?? ?????? ???????????? ????????, ?? ? ????? ?????????? ?????????? ???????????? ?????? XIX ????. ? ???? ?????? ? ?????? ?????? ????????? ???????? ?????, ????????? ? ?????????? ??????????, ???????? ????????????, ??????? ?????????? ????????? ????????? ? ?? ??? ????.",12/01/2024
3,2,2,5,???????? ?????,12/02/2024
4,5,6,5,"«?????? ? ?????????» — ???? ?? ????? ????????? ? ?????????? ??????? XX ????. ??? ???????????? ???????? ? ???? ???????? ???????, ????????? ? ??????. ????? ???????????? ??????? ? ??????? ???????, ???????????? ?????????, ? ??????? 1930-? ?????, ? ? ????? ??????? ? ?????????, ??????? ???????? ????????? ???? ??????? ? ???????? ???????? ?????????????.",12/02/2024
5,8,11,5,"«????? ???????» — ????????????, ??????? ?????????? ????? ????????????? ? ???? ??????????? ????? ? ??????. ??? ???????? ?????? ??????? ??????, ?????? ? ?????, ??????? ??????????? ????? ???????: ?????????? ?????? ? ?????????????? ?????? ??? ????????? ?????? ????.",12/02/2024
6,10,14,5,"«?????? ????????» (??? «? ?????? ?? ?????») — ??? ???????????? ??????????? ?????, ? ??????? 10 ???????, ?????? ? ?????? ????????, ??????????? ????????? ?? ????????? ???????. ?????????? ??? ???????? ??????? ???? ?? ?????? ? ?????????? ???????????????, ? ?????? ????? ?????? ??????? ?????????? ????????????? ?????.",12/02/2024
7,1,10,5,??????,12/02/2024
8,1,4,4,????????????,12/02/2024
9,8,21,5,"????????? ????? — ??? ?????????????? ?????, ??????? ??????????? ? ?????? ??????? ? ???????? ? ?????? ?? ??? ?????. ? ??????? ??????? — ??? ?????? ? ???????????? ?????????? ???????? ? ?????? ???????, ??????? ????????? ????????? ?????????? ?? ?????. ?? ?? ????? ???? ??? ????? — ???????? ??????????? ??????, ???????????? ?????? ???? ? ?????, ??????, ??????????????? ? ?????? ?????? ?????.",12/02/2024
10,15,14,5,???????,12/02/2024
11,9,7,5,??????????? ?? ???? ? ??????,12/02/2024
12,9,3,5,??????????? ?? ???? ? ??????,
